"name","type","degree_length","room_and_board","in_state_tuition","out_of_state_tuition","early_career_pay","mid_career_pay","stem_percent","total_minority_percentage"
"Amridge University","Private","4 Year",0,6900,6900,35700,65900,0,42.24
"Valdosta State University","Public","4 Year",8110,7476,20958,43400,81000,7,42.03
"Southeastern Oklahoma State University","Public","4 Year",6970,6750,15390,45000,80500,15,41.93
"Pomona College","Private","4 Year",16716,52780,52780,63800,117200,37,41.33
"Ferrum College","Private","4 Year",11500,34175,34175,43000,80600,6,41.28
"Fort Lewis College","Public","4 Year",9878,9040,19696,48300,82600,19,41.28
"University of Central Florida","Public","4 Year",9617,6368,22467,49700,88600,16,41.04
"Montclair State University","Public","4 Year",15564,12790,20578,50800,95400,9,40.44
"Old Dominion University","Public","4 Year",11620,10872,29772,50200,89900,19,40.35
"Stevenson University","Private","4 Year",13130,36182,36182,50400,91600,15,39.82
"Marymount University","Private","4 Year",13190,31466,31466,52300,93100,15,39.76
"Metropolitan State University","Public","4 Year",0,7879,14980,50200,85900,11,39.66
"Mississippi University for Women","Public","4 Year",7424,7040,7040,39500,69500,2,39.61
"University of Southern California","Private","4 Year",15395,56225,56225,64500,120600,23,39.52
"Delta State University","Public","4 Year",7722,7246,7246,40800,74200,5,39.46
"Harvey Mudd College","Private","4 Year",18127,56876,56876,88800,158200,85,39.05
"Texas Tech University Health Sciences Center","Public","4 Year",0,7911,20361,61300,104900,3,38.88
"California Institute of Technology","Private","4 Year",15525,52362,52362,84100,151600,97,38.61
"George Mason University","Public","4 Year",11460,12462,35922,58900,105700,23,38.47
"Adams State University","Public","4 Year",8782,9440,20456,44400,81400,3,38.46
"Rogers State University","Public","4 Year",8616,6870,15210,41400,73800,11,38.39
"Auburn University at Montgomery","Public","4 Year",6980,10288,22048,45000,79600,12,38.38
"Virginia Commonwealth University","Public","4 Year",10428,14490,35138,49900,88200,18,38.36
"University of Arkansas at Little Rock","Public","4 Year",8930,8966,21206,45600,80800,13,38.34
"Santa Clara University","Private","4 Year",14910,51711,51711,69900,134700,29,38.03
"Bellevue College","Public","2 Year",0,4258,9689,50100,88500,14,37.75
"Park University","Private","4 Year",8200,12650,12650,48500,85000,7,37.56
"Barnard College","Private","4 Year",17225,55032,55032,59200,109800,19,37.16
"Augusta University","Public","4 Year",9640,10758,29796,47000,84400,10,37.06
"Stanford University","Private","4 Year",15763,51354,51354,79000,145200,51,37.03
"University of Miami","Private","4 Year",14108,50226,50226,56200,99600,22,36.59
"Rice University","Private","4 Year",14000,47350,47350,71000,129500,45,36.57
"University of Arizona","Public","4 Year",12550,12487,36386,56100,101000,23,36.51
"Frostburg State University","Public","4 Year",10202,9172,22892,49600,87000,19,36.19
"Williams College","Private","4 Year",14500,55450,55450,67500,127500,32,35.84
"New Mexico Institute of Mining and Technology","Public","4 Year",8510,7770,22268,64700,120400,91,35.83
"Lander University","Public","4 Year",9100,11700,21300,42600,77100,9,35.77
"Oglethorpe University","Private","4 Year",13200,38100,38100,52400,91400,12,35.65
"Georgia Southern University","Public","4 Year",10070,7422,20904,49000,88000,17,35.38
"La Salle University","Private","4 Year",15080,30560,30560,55800,104800,5,35.21
"Winthrop University","Public","4 Year",9312,15590,29846,44300,79700,9,35.11
"Seton Hall University","Private","4 Year",15800,42470,42470,57100,103800,8,35.10
"University of San Diego","Private","4 Year",12980,49358,49358,58900,109400,12,34.94
"Loyola University New Orleans","Private","4 Year",13380,39692,39692,47900,88600,4,34.80
"Notre Dame of Maryland University","Private","4 Year",11850,36900,36900,48300,86400,3,34.73
"University of New Orleans","Public","4 Year",10575,9054,13890,49900,91600,23,34.61
"Charleston Southern University","Private","4 Year",10200,25500,25500,42800,76300,9,34.57
"Oklahoma Christian University","Private","4 Year",8190,22760,22760,49700,87900,41,34.55
"Cardinal Stritch University","Private","4 Year",8440,29998,29998,47000,82500,2,34.32
"Newberry College","Private","4 Year",10666,26424,26424,41200,74700,14,34.31
