"name","type","state_code","degree_length","room_and_board","in_state_tuition","out_of_state_tuition","total_minority_percentage"
"Bethesda University of California","Private","CA","4 Year",0,8350,8350,87.01
"Cerritos College","Public","CA","2 Year",0,1438,9688,87.0
"Roxbury Community College","Public","MA","2 Year",0,6960,13590,86.88
"Southwest Texas Junior College","Public","TX","2 Year",4600,2978,5808,86.83
"Baltimore City Community College","Public","MD","2 Year",0,2893,6973,86.76
"Clinton College","Private","SC","2 Year",9551,10020,10020,86.6
"Beulah Heights University","Private","GA","4 Year",6000,9880,9880,86.48
"Mountain View College","Public","TX","2 Year",0,1770,5220,86.42
"Pasadena City College","Public","CA","2 Year",0,1440,9180,86.04
"Northern New Mexico College","Public","NM","4 Year",0,4765,4765,86.0
"Contra Costa College","Public","CA","2 Year",0,1392,9162,85.65
"Miami Dade College","Public","FL","2 Year",0,3547,12075,85.64
"San Bernardino Valley College","Public","CA","2 Year",0,1420,10120,85.61
"Los Angeles Mission College","Public","CA","2 Year",0,1404,8934,85.49
"Southern University at New Orleans","Public","LA","4 Year",9040,9371,11160,85.45
"Georgia Piedmont Technical College","Public","GA","2 Year",0,3454,6124,85.41
"Coppin State University","Public","MD","4 Year",10390,6625,12896,85.38
"Clark Atlanta University","Private","GA","4 Year",9524,23436,23436,85.28
"Fremont College","For Profit","CA","2 Year",0,36400,36400,85.27
"Evergreen Valley College","Public","CA","2 Year",0,1416,8526,85.26
"Institute of American Indian Arts","Public","NM","4 Year",9604,4980,4980,84.77
"Technical Career Institutes","For Profit","NY","2 Year",0,13800,13800,84.72
"Los Angeles Harbor College","Public","CA","2 Year",0,1404,8934,84.46
"Imperial Valley College","Public","CA","2 Year",0,1420,9010,84.43
"Long Beach City College","Public","CA","2 Year",0,1418,10628,84.28
"Donnelly College","Private","KS","2 Year",0,9000,9000,84.23
"North Carolina Central University","Public","NC","4 Year",8909,6348,19055,84.14
"University of Texas at El Paso","Public","TX","4 Year",5040,7998,22529,84.13
"White Earth Tribal and Community College","Private","MN","2 Year",0,3830,3830,84.06
"Metropolitan College of New York","Private","NY","4 Year",0,19454,19454,83.79
"El Camino College","Public","CA","2 Year",0,1419,9519,83.6
"Moreno Valley College","Public","CA","2 Year",0,1416,8436,83.27
"Oxnard College","Public","CA","2 Year",0,1418,9218,83.07
"South Suburban College of Cook County","Public","IL","2 Year",0,5093,12683,82.74
"Albany Technical College","Public","GA","2 Year",0,3246,5916,82.45
"Porterville College","Public","CA","2 Year",0,1404,7824,82.33
"Johnson C. Smith University","Private","NC","4 Year",7100,18236,18236,82.31
"Langston University","Public","OK","4 Year",9476,5950,13300,82.07
"East Los Angeles College","Public","CA","2 Year",0,1404,8934,81.71
"West Los Angeles College","Public","CA","2 Year",0,1416,8946,81.51
"Bloomfield College","Private","NJ","4 Year",11950,29550,29550,80.59
"Florida International University","Public","FL","4 Year",10882,6558,18956,80.15
"Chabot College","Public","CA","2 Year",0,1414,9664,80.07
"Cedar Valley College","Public","TX","2 Year",0,1770,5220,79.88
"Gwinnett College","For Profit","GA","2 Year",0,9850,9850,79.69
"College of Alameda","Public","CA","2 Year",0,1416,9606,79.34
"Pillar College","Private","NJ","4 Year",0,21700,21700,79.29
"Vaughn College of Aeronautics and Technology","Private","NY","4 Year",14550,25710,25710,79.24
"Hudson County Community College","Public","NJ","2 Year",0,5718,14028,79.04
"Cankdeska Cikana Community College","Public","ND","2 Year",0,4050,4050,78.92
"Chaffey College","Public","CA","2 Year",0,1414,9454,78.8
"Salish Kootenai College","Private","MT","4 Year",0,6399,11583,78.7
"Mission College","Public","CA","2 Year",0,1572,9312,78.66
"Robeson Community College","Public","NC","2 Year",0,2394,8154,78.37
"Chicago State University","Public","IL","4 Year",8724,12177,20877,78.26
"MacCormac College","Private","IL","2 Year",0,13520,13520,78.24
"Chowan University","Private","NC","4 Year",9400,24980,24980,78.17
"JNA Institute of Culinary Arts","For Profit","PA","2 Year",0,12725,12725,77.97
"Los Angeles County College of Nursing and Allied Health","Public","CA","2 Year",0,4925,4925,77.94
"Peirce College","Private","PA","4 Year",0,18660,18660,77.91
"Hartnell College","Public","CA","2 Year",0,1400,8870,77.8
"Florida Memorial University","Private","FL","4 Year",7816,15536,15536,77.55
"San Jose City College","Public","CA","2 Year",0,1448,8438,77.54
"Tuskegee University","Private","AL","4 Year",9650,22170,22170,77.51
"South Mountain Community College","Public","AZ","2 Year",0,2580,9810,77.35
"Los Angeles City College","Public","CA","2 Year",0,1402,8932,77.34
"Skyline College","Public","CA","2 Year",0,1446,8676,77.26
"Laney College","Public","CA","2 Year",0,1461,9201,77.23
"Essex County College","Public","NJ","2 Year",0,4995,8790,77.06
"Bakersfield College","Public","CA","2 Year",0,1418,7838,76.95
"Lac Courte Oreilles Ojibwa Community College","Public","WI","2 Year",0,5850,5850,76.7
"College of the Desert","Public","CA","2 Year",0,1420,8890,76.61
"Delaware State University","Public","DE","4 Year",12190,7868,16904,76.55
"Lawson State Community College","Public","AL","2 Year",4760,4760,8660,76.34
"San Joaquin Delta College","Public","CA","2 Year",0,1380,9480,76.3
"Southern California Institute of Technology","For Profit","CA","4 Year",0,17000,17000,76.24
"University of Houston-Downtown","Public","TX","4 Year",0,7832,20282,76.12
"Elizabeth City State University","Public","NC","4 Year",8840,3194,7194,76.11
"Citrus College","Public","CA","2 Year",0,1450,9520,75.91
"Fayetteville State University","Public","NC","4 Year",8236,4915,16523,75.88
"Fresno City College","Public","CA","2 Year",0,1420,9160,75.64
"El Centro College","Public","TX","2 Year",0,1770,5220,75.6
"Antelope Valley College","Public","CA","2 Year",0,1420,9760,75.52
"Merritt College","Public","CA","2 Year",0,1420,9610,75.49
