"name","type","state_code","degree_length","room_and_board","in_state_tuition","out_of_state_tuition","total_minority_percentage"
"J. Sargeant Reynolds Community College","Public","VA","2 Year",0,5508,11436,49.58
"Albertus Magnus College","Private","CT","4 Year",13200,32060,32060,49.48
"Sampson Community College","Public","NC","2 Year",0,2357,8117,49.39
"Western New Mexico University","Public","NM","4 Year",9136,6824,15231,49.34
"Cogswell Polytechnical College","For Profit","CA","4 Year",11000,20056,20056,49.26
"Wayland Baptist University","Private","TX","4 Year",7992,20070,20070,49.26
"Southern California Seminary","Private","CA","4 Year",5580,13300,13300,49.25
"Tri-State Bible College","Private","OH","4 Year",0,10500,10500,49.25
"American River College","Public","CA","2 Year",0,1416,9546,49.21
"Vanguard University of Southern California","Private","CA","4 Year",10520,33700,33700,49.18
"Bay State College","For Profit","MA","2 Year",13300,27750,27750,49.1
"Art Center College of Design","Private","CA","4 Year",0,43416,43416,49.05
"Northland Pioneer College","Public","AZ","2 Year",0,2310,10740,49.05
"Community College of Denver","Public","CO","2 Year",0,5757,19617,49.02
"Webster University","Private","MO","4 Year",11050,27900,27900,49.01
"Francis Marion University","Public","SC","4 Year",7948,11160,21544,48.99
"Eastern Shore Community College","Public","VA","2 Year",0,4800,10728,48.87
"St. Edward's University","Private","TX","4 Year",13650,45428,45428,48.85
"James Sprunt Community College","Public","NC","2 Year",0,2501,8645,48.8
"Mesalands Community College","Public","NM","2 Year",3975,2250,3630,48.8
"Central Piedmont Community College","Public","NC","2 Year",0,2792,8936,48.75
"Hillsborough Community College","Public","FL","2 Year",0,3132,11388,48.69
"University of Illinois at Chicago","Public","IL","4 Year",12074,13764,26980,48.51
"College of Lake County","Public","IL","2 Year",0,4230,13110,48.42
"South Plains College","Public","TX","2 Year",4368,2762,4922,48.42
"Columbia College Hollywood","Private","CA","4 Year",0,25140,25140,48.38
"Central Carolina Technical College","Public","SC","2 Year",0,5760,9630,48.32
"University of the Southwest","Private","NM","4 Year",8220,16000,16000,48.17
"St. John Vianney College Seminary","Private","FL","4 Year",11000,21000,21000,48.15
"Saint Leo University","Private","FL","4 Year",10570,22280,22280,48.11
"Nash Community College","Public","NC","2 Year",0,2900,9700,48.09
"Refrigeration School","For Profit","AZ","2 Year",0,21615,21615,48.06
"Cabrillo College","Public","CA","2 Year",0,1500,9300,47.87
"Advanced Technology Institute","For Profit","VA","2 Year",0,13680,13680,47.84
"Dallas Institute of Funeral Service","Private","TX","2 Year",0,11870,11870,47.66
"Tallahassee Community College","Public","FL","2 Year",0,3030,11460,47.59
"Vance-Granville Community College","Public","NC","2 Year",0,2409,8169,47.48
"Amarillo College","Public","TX","2 Year",0,2670,5880,47.46
"University of West Alabama","Public","AL","4 Year",8116,10040,18490,47.46
"Moorpark College","Public","CA","2 Year",0,1448,9248,47.43
"University of Texas at Arlington","Public","TX","4 Year",10302,10250,25134,47.43
"Walden University","For Profit","MN","4 Year",0,15045,15045,47.43
"National-Louis University","Private","IL","4 Year",0,10710,10710,47.38
"Mills College","Private","CA","4 Year",13448,30257,30257,47.34
"Springfield Technical Community College","Public","MA","2 Year",0,6306,12816,47.34
"Alvin Community College","Public","TX","2 Year",0,1998,4818,47.28
"Dominican College of Blauvelt","Private","NY","4 Year",13150,29000,29000,47.22
"Trinidad State Junior College","Public","CO","2 Year",6898,4972,7951,47.22
"William Paterson University of New Jersey","Public","NJ","4 Year",11445,13060,21260,47.19
"College of the Mainland","Public","TX","2 Year",0,1773,3873,47.15
"Technical College of the Lowcountry","Public","SC","2 Year",0,5880,12570,47.13
"Lamar Institute of Technology","Public","TX","2 Year",0,5634,18084,47.12
"Reading Area Community College","Public","PA","2 Year",0,5580,10590,47.02
"Loyola Marymount University","Private","CA","4 Year",14490,48522,48522,46.99
"Lincoln College","Private","IL","2 Year",7700,18600,18600,46.91
"Waubonsee Community College","Public","IL","2 Year",0,4080,11295,46.88
"Rosemont College","Private","PA","4 Year",12438,19900,19900,46.85
"Garden City Community College","Public","KS","2 Year",5450,3120,3690,46.77
"University of San Francisco","Private","CA","4 Year",14830,48066,48066,46.72
"Southern Crescent Technical College","Public","GA","2 Year",0,3372,6042,46.59
"Baptist College of Health Sciences","Private","TN","4 Year",2900,14700,14700,46.58
"Point University","Private","GA","4 Year",7900,20600,20600,46.52
"Santa Barbara City College","Public","CA","2 Year",0,1496,10046,46.48
"Brazosport College","Public","TX","2 Year",0,2715,5355,46.43
"Northeastern Technical College","Public","SC","2 Year",0,5490,8940,46.42
"Marygrove College","Private","MI","4 Year",7800,23630,23630,46.39
"Mercer County Community College","Public","NJ","2 Year",0,5257,9547,46.22
"Alabama Southern Community College","Public","AL","2 Year",0,4440,8880,46.14
"Austin Community College","Public","TX","2 Year",0,2550,13020,46.1
"Dominican University","Private","IL","4 Year",10241,33434,33434,46.08
"Richmond Community College","Public","NC","2 Year",0,2344,8104,46.07
"Azusa Pacific University","Private","CA","4 Year",10076,38880,38880,46.04
"Art Institute of Phoenix","For Profit","AZ","4 Year",10928,21645,21645,45.99
"Columbus State University","Public","GA","4 Year",9880,7200,20682,45.95
"North Hennepin Community College","Public","MN","2 Year",0,5542,5542,45.95
"Andrews University","Private","MI","4 Year",9078,29288,29288,45.9
"Goodwin College","Private","CT","2 Year",0,20888,20888,45.9
"Capella University","For Profit","MN","4 Year",0,13788,13788,45.88
"Seminole State College of Florida","Public","FL","2 Year",0,3131,11456,45.86
"Roosevelt University","Private","IL","4 Year",13223,29832,29832,45.81
"University of Houston-Clear Lake","Public","TX","4 Year",0,8500,24731,45.75
"Midlands Technical College","Public","SC","2 Year",0,5598,16278,45.54
"Temple College","Public","TX","2 Year",0,3360,7890,45.52
"Career College of Northern Nevada","For Profit","NV","2 Year",0,11250,11250,45.44
"Connors State College","Public","OK","2 Year",6032,4328,9031,45.43
"Kansas City Kansas Community College","Public","KS","2 Year",0,3120,6510,45.42
"Texas State University","Public","TX","4 Year",9374,10935,23385,45.41
"Brenau University","Private","GA","4 Year",12418,29050,29050,45.32
"New Jersey Institute of Technology","Public","NJ","4 Year",13600,17338,32750,45.32
"Northeastern State University","Public","OK","4 Year",7638,6650,14720,45.32
"Meridian Community College","Public","MS","2 Year",0,3015,3995,45.31
"Menlo College","Private","CA","4 Year",14225,42800,42800,45.21
"Commonwealth Institute of Funeral Service","Private","TX","2 Year",0,5130,5130,45.18
"Grantham University","For Profit","KS","4 Year",0,6540,6540,45.16
"Brandman University","Private","CA","4 Year",0,15380,15380,45.11
"Central Arizona College","Public","AZ","2 Year",7700,2580,11100,45.11
"Lenoir Community College","Public","NC","2 Year",0,2405,8165,45.05
"College of Marin","Public","CA","2 Year",0,1418,11018,45.0
"Christian Brothers University","Private","TN","4 Year",7400,32820,32820,44.99
"Divine Word College","Private","IA","4 Year",3700,13485,13485,44.79
"Copiah-Lincoln Community College","Public","MS","2 Year",3850,3180,5180,44.73
"Northern Essex Community College","Public","MA","2 Year",0,6420,13650,44.52
"Sessions College for Professional Design","Private","AZ","2 Year",0,8775,8775,44.44
"Grand Canyon University","For Profit","AZ","4 Year",10100,27090,27090,44.42
"Richard Bland College","Public","VA","2 Year",12204,8100,21810,44.39
"University of Redlands","Private","CA","4 Year",14278,49504,49504,44.31
"Santa Rosa Junior College","Public","CA","2 Year",0,1430,10460,44.19
"East Central Community College","Public","MS","2 Year",3830,2870,4970,44.1
"Key College","For Profit","FL","2 Year",0,11085,11085,44.07
"McLennan Community College","Public","TX","2 Year",0,3450,5700,44.06
"Eastern New Mexico University","Public","NM","4 Year",7162,6206,8128,43.99
"Saint Xavier University","Private","IL","4 Year",11340,33880,33880,43.83
"Saint Mary's College of California","Private","CA","4 Year",15370,47280,47280,43.82
"University of Memphis","Public","TN","4 Year",9975,9701,21413,43.81
"Rockland Community College","Public","NY","2 Year",0,5326,10072,43.72
"University of North Texas","Public","TX","4 Year",9727,11250,23700,43.71
"South Florida State College","Public","FL","2 Year",0,3136,11829,43.63
"Dominican University of California","Private","CA","4 Year",14810,45850,45850,43.58
"American Academy of Art","Private","IL","4 Year",0,34100,34100,43.56
"Troy University","Public","AL","4 Year",8185,12460,22875,43.56
"Swarthmore College","Private","PA","4 Year",15474,52588,52588,43.51
"Humboldt State University","Public","CA","4 Year",12870,7676,19556,43.5
"Wellesley College","Private","MA","4 Year",16468,53732,53732,43.48
"Amherst College","Private","MA","4 Year",14740,56426,56426,43.47
"University of West Georgia","Public","GA","4 Year",10918,7292,20774,43.45
"Southwest Mississippi Community College","Public","MS","2 Year",3750,3280,5980,43.34
"Chestnut Hill College","Private","PA","4 Year",11000,36180,36180,43.24
"Oakton Community College","Public","IL","2 Year",0,4292,13375,43.21
"Camden County College","Public","NJ","2 Year",0,4320,4440,43.13
"McMurry University","Private","TX","4 Year",8602,27244,27244,43.1
"Lamar University","Public","TX","4 Year",8920,10192,22642,42.99
"Paul D. Camp Community College","Public","VA","2 Year",0,4730,10768,42.97
"Five Towns College","For Profit","NY","4 Year",12820,21640,21640,42.94
"Tyler Junior College","Public","TX","2 Year",7940,2962,5482,42.94
"Western Texas College","Public","TX","2 Year",5293,3840,6210,42.91
"Mid-America Christian University","Private","OK","4 Year",8036,18334,18334,42.86
"Biola University","Private","CA","4 Year",10730,40488,40488,42.75
"Hennepin Technical College","Public","MN","2 Year",0,5119,5119,42.74
"Mercer University","Private","GA","4 Year",11616,36894,36894,42.64
"University of Texas at Austin","Public","TX","4 Year",10804,10606,37480,42.59
"Cameron University","Public","OK","4 Year",5452,6450,15870,42.57
"Southern Adventist University","Private","TN","4 Year",6940,21950,21950,42.49
"University of Bridgeport","Private","CT","4 Year",13860,32850,32850,42.48
"Sullivan County Community College","Public","NY","2 Year",9828,5690,10504,42.36
"Amridge University","Private","AL","4 Year",0,6900,6900,42.24
"Northeast Texas Community College","Public","TX","2 Year",6300,2849,6149,42.22
"Delaware College of Art and Design","Private","DE","2 Year",12450,25395,25395,42.16
"Saddleback College","Public","CA","2 Year",0,1418,10058,42.08
"Valdosta State University","Public","GA","4 Year",8110,7476,20958,42.03
"South Louisiana Community College","Public","LA","2 Year",0,4205,7810,42.02
"Schiller International University","For Profit","FL","4 Year",0,17700,17700,42.0
"Wenatchee Valley College","Public","WA","2 Year",4020,4467,4903,41.99
"Davis College","Private","NY","4 Year",8100,17150,17150,41.97
"Chattahoochee Technical College","Public","GA","2 Year",0,3350,6020,41.96
"South Arkansas Community College","Public","AR","2 Year",0,3360,6000,41.94
"Southeastern Oklahoma State University","Public","OK","4 Year",6970,6750,15390,41.93
"Southside Virginia Community College","Public","VA","2 Year",0,4695,10623,41.89
"Harper College","Public","IL","2 Year",0,4578,14553,41.87
"University of the West","Private","CA","4 Year",7764,15440,15440,41.85
"Alverno College","Private","WI","4 Year",8546,28302,28302,41.82
"Life Pacific College","Private","CA","4 Year",8390,15804,15804,41.78
"College of DuPage","Public","IL","2 Year",0,4080,11790,41.76
"Copper Mountain College","Public","CA","2 Year",0,1388,9120,41.71
"Navarro College","Public","TX","2 Year",5618,2400,5400,41.58
"Texas Lutheran University","Private","TX","4 Year",9720,30050,30050,41.44
"Austin College","Private","TX","4 Year",12527,39985,39985,41.43
"San Diego Christian College","Private","CA","4 Year",11640,31404,31404,41.41
"York Technical College","Public","SC","2 Year",0,5740,12190,41.38
"Pomona College","Private","CA","4 Year",16716,52780,52780,41.33
"University of Texas at Dallas","Public","TX","4 Year",11532,13034,36876,41.32
"Ferrum College","Private","VA","4 Year",11500,34175,34175,41.28
"Fort Lewis College","Public","CO","4 Year",9878,9040,19696,41.28
"Occidental College","Private","CA","4 Year",15496,54686,54686,41.27
"Piedmont Technical College","Public","SC","2 Year",0,5495,7985,41.25
"Marion Military Institute","Public","AL","2 Year",4950,9418,15418,41.23
"Atlantic Cape Community College","Public","NJ","2 Year",0,5096,8096,41.21
"Sam Houston State University","Public","TX","4 Year",9386,10183,22633,41.18
"University of Texas Health Science Center at Houston","Public","TX","4 Year",0,6380,27710,41.09
"Eastern University","Private","PA","4 Year",11254,33122,33122,41.07
"Salem College","Private","NC","4 Year",11850,29416,29416,41.06
"Angelo State University","Public","TX","4 Year",9130,8489,20939,41.05
"University of Central Florida","Public","FL","4 Year",9617,6368,22467,41.04
"Orange County Community College","Public","NY","2 Year",0,5288,9974,40.87
"Forsyth Technical Community College","Public","NC","2 Year",0,2446,8206,40.8
"Concordia University Texas","Private","TX","4 Year",11018,31810,31810,40.77
"William Peace University","Private","NC","4 Year",11100,30500,30500,40.67
"Southwestern Christian University","Private","OK","4 Year",7100,18630,18630,40.59
"Woodbury University","Private","CA","4 Year",11920,39855,39855,40.49
"River Parishes Community College","Public","LA","2 Year",0,4079,8123,40.48
"Eastern Oklahoma State College","Public","OK","2 Year",5777,4697,8314,40.47
"Clovis Community College","Public","NM","2 Year",0,1296,2904,40.45
"Beaufort County Community College","Public","NC","2 Year",0,2344,8104,40.44
"Montclair State University","Public","NJ","4 Year",15564,12790,20578,40.44
"Old Dominion University","Public","VA","4 Year",11620,10872,29772,40.35
"East Arkansas Community College","Public","AR","2 Year",0,2880,3720,40.3
"Bergen Community College","Public","NJ","2 Year",0,5610,10650,40.25
"Kilgore College","Public","TX","2 Year",4916,2370,6240,40.17
"Cuyahoga Community College","Public","OH","2 Year",0,3436,8136,40.13
"Trident Technical College","Public","SC","2 Year",0,5584,10444,40.09
"Naugatuck Valley Community College","Public","CT","2 Year",0,4404,13172,40.05
"Polk State College","Public","FL","2 Year",0,3367,12272,40.01
"Island Drafting and Technical Institute","For Profit","NY","2 Year",0,16650,16650,40.0
"College of Southern Maryland","Public","MD","2 Year",0,3825,8580,39.96
"Pitt Community College","Public","NC","2 Year",0,2354,8114,39.86
"Spartanburg Methodist College","Private","SC","2 Year",9375,17035,17035,39.85
"Stevenson University","Private","MD","4 Year",13130,36182,36182,39.82
"Texas Wesleyan University","Private","TX","4 Year",10559,30300,30300,39.81
"Nashville State Community College","Public","TN","2 Year",0,4395,17301,39.78
"Marymount University","Private","VA","4 Year",13190,31466,31466,39.76
"Metropolitan State University","Public","MN","4 Year",0,7879,14980,39.66
"Fashion Institute of Technology","Public","NY","4 Year",14480,5740,15520,39.65
"Mississippi University for Women","Public","MS","4 Year",7424,7040,7040,39.61
"Mesa Community College","Public","AZ","2 Year",0,2565,9795,39.55
"University of Southern California","Private","CA","4 Year",15395,56225,56225,39.52
"Delta State University","Public","MS","4 Year",7722,7246,7246,39.46
"Hope International University","Private","CA","4 Year",10490,33400,33400,39.43
"John F. Kennedy University","Private","CA","4 Year",0,18261,18261,39.43
"Sierra College","Public","CA","2 Year",11063,1430,9010,39.33
"Trinity College of Florida","Private","FL","4 Year",6650,16340,16340,39.3
"Cuesta College","Public","CA","2 Year",0,1418,9158,39.28
"Southern Arkansas University Tech","Public","AR","2 Year",2800,5250,6690,39.26
"Greensboro College","Private","NC","4 Year",10800,29140,29140,39.23
"John Tyler Community College","Public","VA","2 Year",0,4800,10098,39.21
"Schreiner University","Private","TX","4 Year",10508,27960,27960,39.18
"Massasoit Community College","Public","MA","2 Year",0,6030,12210,39.17
"Sonoma State University","Public","CA","4 Year",13960,7798,19678,39.17
"Wake Technical Community College","Public","NC","2 Year",0,2610,8370,39.17
"Mendocino College","Public","CA","2 Year",0,1420,9160,39.16
"LIM College","For Profit","NY","4 Year",20350,27030,27030,39.15
"Eastern Nazarene College","Private","MA","4 Year",9624,25598,25598,39.06
"Harvey Mudd College","Private","CA","4 Year",18127,56876,56876,39.05
"Stephen F. Austin State University","Public","TX","4 Year",8964,10287,22737,39.02
"Carl Albert State College","Public","OK","2 Year",4000,3818,7943,39.0
"Central Carolina Community College","Public","NC","2 Year",0,2392,8152,38.99
"South Georgia State College","Public","GA","4 Year",8540,3810,11556,38.95
"Texas Tech University Health Sciences Center","Public","TX","4 Year",0,7911,20361,38.88
"Century College","Public","MN","2 Year",0,5417,5417,38.85
"Big Bend Community College","Public","WA","2 Year",3537,4272,9703,38.84
"Indian River State College","Public","FL","2 Year",0,3115,11715,38.81
"Sandhills Community College","Public","NC","2 Year",0,2446,8206,38.77
"Florida State College at Jacksonville","Public","FL","2 Year",0,3146,12038,38.76
"University of North Carolina at Greensboro","Public","NC","4 Year",9038,7319,22478,38.75
"Columbia Basin College","Public","WA","2 Year",0,5563,8532,38.67
"California Institute of Technology","Private","CA","4 Year",15525,52362,52362,38.61
"Villa Maria College of Buffalo","Private","NY","4 Year",0,22600,22600,38.57
"Feather River College","Public","CA","2 Year",5350,1461,8511,38.54
"George Mason University","Public","VA","4 Year",11460,12462,35922,38.47
"Adams State University","Public","CO","4 Year",8782,9440,20456,38.46
"Joliet Junior College","Public","IL","2 Year",0,4380,13140,38.43
"Pueblo Community College","Public","CO","2 Year",0,5968,19425,38.4
"Rogers State University","Public","OK","4 Year",8616,6870,15210,38.39
"Auburn University at Montgomery","Public","AL","4 Year",6980,10288,22048,38.38
"Middlesex Community College","Public","CT","2 Year",0,4404,13172,38.37
"Middlesex Community College","Public","MA","2 Year",0,6450,12630,38.37
"Virginia Commonwealth University","Public","VA","4 Year",10428,14490,35138,38.36
"University of Arkansas at Little Rock","Public","AR","4 Year",8930,8966,21206,38.34
"North Shore Community College","Public","MA","2 Year",0,6450,13410,38.33
"Horizon University","Private","CA","4 Year",0,7700,7700,38.24
"Aims Community College","Public","CO","2 Year",0,2281,13018,38.21
"Memphis College of Art","Private","TN","4 Year",8890,33100,33100,38.16
"Danville Community College","Public","VA","2 Year",0,4710,10008,38.15
"Trinity Valley Community College","Public","TX","2 Year",6590,2640,5970,38.13
"Aiken Technical College","Public","SC","2 Year",0,5160,8010,38.03
"Santa Clara University","Private","CA","4 Year",14910,51711,51711,38.03
"Lancaster Bible College","Private","PA","4 Year",8750,25270,25270,37.99
"Criswell College","Private","TX","4 Year",0,13120,13120,37.9
"Rose State College","Public","OK","2 Year",6370,4319,10696,37.85
"University of South Florida","Public","FL","4 Year",11610,6410,17324,37.84
"Coker College","Private","SC","4 Year",9090,29328,29328,37.82
"Bellevue College","Public","WA","2 Year",0,4258,9689,37.75
"Quincy College","Public","MA","2 Year",0,7100,7100,37.68
"Laboure College","Private","MA","2 Year",0,36863,36863,37.65
"North Park University","Private","IL","4 Year",9866,29190,29190,37.61
"California Institute of the Arts","Private","CA","4 Year",12069,49276,49276,37.59
"Columbia Southern University","For Profit","AL","4 Year",0,6785,6785,37.59
"Park University","Private","MO","4 Year",8200,12650,12650,37.56
"Point Loma Nazarene University","Private","CA","4 Year",10450,35700,35700,37.49
"Northcentral University","For Profit","CA","4 Year",0,11064,11064,37.47
"Western Oklahoma State College","Public","OK","2 Year",5250,4250,8605,37.4
"Clover Park Technical College","Public","WA","2 Year",0,4271,4271,37.32
"Shelton State Community College","Public","AL","2 Year",0,4467,8337,37.26
"Scripps College","Private","CA","4 Year",16932,55024,55024,37.25
"Texarkana College","Public","TX","2 Year",0,2720,5870,37.23
"Angelina College","Public","TX","2 Year",5500,2625,5535,37.22
"Truckee Meadows Community College","Public","NV","2 Year",0,3338,10250,37.2
"Barnard College","Private","NY","4 Year",17225,55032,55032,37.16
"Santa Fe College","Public","FL","2 Year",0,3203,11487,37.16
"Augusta University","Public","GA","4 Year",9640,10758,29796,37.06
"Monroe Community College","Public","NY","2 Year",6780,4986,9466,37.04
"Stanford University","Private","CA","4 Year",15763,51354,51354,37.03
"Golden Gate University","Private","CA","4 Year",0,15840,15840,37.02
"Regent University","Private","VA","4 Year",9120,18108,18108,36.96
"Northwestern State University","Public","LA","4 Year",8884,8580,19368,36.89
"Northwest Mississippi Community College","Public","MS","2 Year",3550,3000,5400,36.86
"College of the Redwoods","Public","CA","2 Year",8231,1418,9188,36.84
"Pamlico Community College","Public","NC","2 Year",0,2323,8083,36.83
"California Lutheran University","Private","CA","4 Year",13779,42693,42693,36.8
"Soka University of America","Private","CA","4 Year",12530,31310,31310,36.69
"Community College of Rhode Island","Public","RI","2 Year",0,4564,12156,36.67
"Kishwaukee College","Public","IL","2 Year",0,4770,13290,36.65
"Wayne Community College","Public","NC","2 Year",0,2524,8668,36.65
"University of Miami","Private","FL","4 Year",14108,50226,50226,36.59
"Wiregrass Georgia Technical College","Public","GA","2 Year",0,3328,5998,36.59
"Rice University","Private","TX","4 Year",14000,47350,47350,36.57
"American Academy McAllister Institute of Funeral Service","Private","NY","2 Year",0,17160,17160,36.56
"Hopkinsville Community College","Public","KY","2 Year",0,5070,17760,36.54
"University of Arizona","Public","AZ","4 Year",12550,12487,36386,36.51
"Molloy College","Private","NY","4 Year",15032,31490,31490,36.36
"Palm Beach Atlantic University","Private","FL","4 Year",10120,31450,31450,36.25
"Frostburg State University","Public","MD","4 Year",10202,9172,22892,36.19
"Northampton Community College","Public","PA","2 Year",9094,4380,14100,36.18
"Rowan-Cabarrus Community College","Public","NC","2 Year",0,2409,8169,36.18
"Normandale Community College","Public","MN","2 Year",0,5789,5789,36.04
"Lake Tahoe Community College","Public","CA","2 Year",0,1410,9825,36.01
"East Texas Baptist University","Private","TX","4 Year",9079,26370,26370,35.95
"Folsom Lake College","Public","CA","2 Year",0,1450,9580,35.87
"Piedmont Community College","Public","NC","2 Year",0,2544,8688,35.86
"Williams College","Private","MA","4 Year",14500,55450,55450,35.84
"New Mexico Institute of Mining and Technology","Public","NM","4 Year",8510,7770,22268,35.83
"Arkansas Northeastern College","Public","AR","2 Year",0,2450,4250,35.79
"Lander University","Public","SC","4 Year",9100,11700,21300,35.77
"Oglethorpe University","Private","GA","4 Year",13200,38100,38100,35.65
"Cisco College","Public","TX","2 Year",4355,2940,5070,35.62
"Quinsigamond Community College","Public","MA","2 Year",0,6720,12900,35.61
"Cossatot Community College of the University of Arkansas","Public","AR","2 Year",0,3450,4290,35.57
"Seminole State College","Public","OK","2 Year",7070,5040,11160,35.57
"Southeastern Technical College","Public","GA","2 Year",0,3368,6740,35.55
"Chandler-Gilbert Community College","Public","AZ","2 Year",0,2580,9810,35.51
"Georgia Southern University","Public","GA","4 Year",10070,7422,20904,35.38
"Jones County Junior College","Public","MS","2 Year",4132,3440,5440,35.38
"Moraine Valley Community College","Public","IL","2 Year",0,4356,11196,35.28
"Tulsa Community College","Public","OK","2 Year",0,4187,10727,35.24
"Pitzer College","Private","CA","4 Year",16844,54056,54056,35.22
"La Salle University","Private","PA","4 Year",15080,30560,30560,35.21
"Raritan Valley Community College","Public","NJ","2 Year",0,5686,7036,35.18
"Spartanburg Community College","Public","SC","2 Year",0,5640,11490,35.14
"Winthrop University","Public","SC","4 Year",9312,15590,29846,35.11
"Seton Hall University","Private","NJ","4 Year",15800,42470,42470,35.1
"Jefferson Community and Technical College","Public","KY","2 Year",0,5310,18000,35.09
"Dallas Baptist University","Private","TX","4 Year",7992,28870,28870,35.06
"Pace University","Private","NY","4 Year",19200,45280,45280,34.98
"Mount Mary University","Private","WI","4 Year",8600,30100,30100,34.95
"University of San Diego","Private","CA","4 Year",12980,49358,49358,34.94
"Midwestern State University","Public","TX","4 Year",8877,9019,10969,34.92
"Otero Junior College","Public","CO","2 Year",7112,4882,7861,34.87
"Loyola University New Orleans","Private","LA","4 Year",13380,39692,39692,34.8
"Martin Community College","Public","NC","2 Year",0,2318,8078,34.8
"Coastal Carolina Community College","Public","NC","2 Year",0,2492,8636,34.79
"Enterprise State Community College","Public","AL","2 Year",0,4500,8130,34.76
"Notre Dame of Maryland University","Private","MD","4 Year",11850,36900,36900,34.73
"Alamance Community College","Public","NC","2 Year",0,2310,8070,34.69
"University of Washington","Public","WA","4 Year",12798,11517,36898,34.64
"North Central Texas College","Public","TX","2 Year",3970,2730,7980,34.62
"University of New Orleans","Public","LA","4 Year",10575,9054,13890,34.61
"Charleston Southern University","Private","SC","4 Year",10200,25500,25500,34.57
"Webber International University","Private","FL","4 Year",9150,26116,26116,34.56
"Oklahoma Christian University","Private","OK","4 Year",8190,22760,22760,34.55
"University of Texas at Tyler","Public","TX","4 Year",9502,8292,21522,34.54
"Holyoke Community College","Public","MA","2 Year",0,5760,11940,34.48
"Pepperdine University","Private","CA","4 Year",15320,53932,53932,34.47
"Guilford College","Private","NC","4 Year",11200,38250,38250,34.44
"Southwestern Assemblies of God University","Private","TX","4 Year",7500,20952,20952,34.38
"Cardinal Stritch University","Private","WI","4 Year",8440,29998,29998,34.32
"Newberry College","Private","SC","4 Year",10666,26424,26424,34.31
"Claremont McKenna College","Private","CA","4 Year",16705,54405,54405,34.21
"DePaul University","Private","IL","4 Year",14235,39975,39975,34.2
"Dutchess Community College","Public","NY","2 Year",11518,4404,8268,34.2
"Oklahoma City Community College","Public","OK","2 Year",0,4059,9810,34.19
"Greenville Technical College","Public","SC","2 Year",0,5580,11100,34.11
"Tacoma Community College","Public","WA","2 Year",0,4320,9751,34.11
"VanderCook College of Music","Private","IL","4 Year",13192,28434,28434,34.09
"University of Southern Mississippi","Public","MS","4 Year",9857,8734,10734,34.07
"Oral Roberts University","Private","OK","4 Year",9450,27728,27728,34.04
"Blinn College","Public","TX","2 Year",8103,3540,10050,34.03
"Adelphi University","Private","NY","4 Year",16030,38660,38660,33.99
"Georgia Southwestern State University","Public","GA","4 Year",8120,6336,19412,33.98
"Columbia College Chicago","Private","IL","4 Year",14012,27176,27176,33.94
"Oklahoma Panhandle State University","Public","OK","4 Year",4695,8194,9133,33.9
"Coffeyville Community College","Public","KS","2 Year",6180,2160,3630,33.89
"Renton Technical College","Public","WA","2 Year",0,4701,5123,33.88
"Emory University","Private","GA","4 Year",14456,51306,51306,33.86
"Kennesaw State University","Public","GA","4 Year",11467,7432,21158,33.78
"Northern Illinois University","Public","IL","4 Year",10880,12262,12262,33.77
"Cincinnati State Technical and Community College","Public","OH","2 Year",0,5242,10001,33.73
"Barton College","Private","NC","4 Year",10120,30880,30880,33.72
"University of Mary Hardin-Baylor","Private","TX","4 Year",8446,28750,28750,33.72
"Oakland Community College","Public","MI","2 Year",0,2960,5540,33.7
"University of Arkansas at Monticello","Public","AR","4 Year",6824,7696,13546,33.68
"Panola College","Public","TX","2 Year",5016,2400,5190,33.58
"Vassar College","Private","NY","4 Year",13550,56960,56960,33.54
"Concordia University Chicago","Private","IL","4 Year",9748,32078,32078,33.47
"Craven Community College","Public","NC","2 Year",0,2578,8338,33.47
"South Piedmont Community College","Public","NC","2 Year",0,2515,8275,33.41
"Massachusetts Bay Community College","Public","MA","2 Year",0,6360,12540,33.4
"Trinity University","Private","TX","4 Year",13464,42976,42976,33.35
"University of Dallas","Private","TX","4 Year",12400,40652,40652,33.28
"West Texas A&M University","Public","TX","4 Year",7196,8849,10476,33.25
"Charter Oak State College","Public","CT","4 Year",0,10161,13101,33.23
"Southwestern Illinois College","Public","IL","2 Year",0,3660,15870,33.23
"Vernon College","Public","TX","2 Year",4096,3000,6300,33.19
"Trinity Baptist College","Private","FL","4 Year",7040,12140,12140,33.16
"Post University","For Profit","CT","4 Year",11600,31050,31050,33.13
"Gateway Technical College","Public","WI","2 Year",0,4026,6039,33.01
"Murray State College","Public","OK","2 Year",6800,4820,10970,33.0
"Pacific University","Private","OR","4 Year",12528,44298,44298,32.97
"Mitchell College","Private","CT","4 Year",13000,33200,33200,32.9
"Howard Payne University","Private","TX","4 Year",8386,28090,28090,32.89
"University of Florida","Public","FL","4 Year",10120,6381,28658,32.88
"Baptist Missionary Association Theological Seminary","Private","TX","4 Year",3150,6690,6690,32.85
"Antioch University Midwest","Private","OH","4 Year",0,16210,16210,32.81
"William Carey University","Private","MS","4 Year",6810,12600,12600,32.8
"Seattle University","Private","WA","4 Year",12288,44610,44610,32.71
"Chapman University","Private","CA","4 Year",15828,52724,52724,32.7
"Southern Wesleyan University","Private","SC","4 Year",9030,25476,25476,32.68
"Gwynedd Mercy University","Private","PA","4 Year",12370,35600,35600,32.66
